RA,Decl,score,star,gaussians,pulses,triplets,spikes,comment,qpix
5.20390,4.41400,NA,24205 (G0),0,0,0,0,"planetary system, no signals or not observed",
5.62607,20.73662,NA,26381 (G4IV-V),0,0,0,0,"planetary system, no signals or not observed",
5.67496,6.06537,NA,26664 (K0),0,0,0,0,"planetary system, no signals or not observed",
5.78392,1.17134,NA,27253 (G4V),0,0,0,0,"planetary system, no signals or not observed",
5.45510,27.00710,-7201,25450 (F8),7,3,19,"95, 6, 26",,
5.48291,27.06996,-803124,none,325,296,52,"2060, 476, 458",best score,
5.64110,22.50800,-986,26484 (A0),0,2,19,"18, 0, 4",,24768809
5.70260,19.39210,-12675,26826 (A0),26,28,"648, 0, 77","132, 5, 36",,24734026
5.50050,27.11190,-3720,none,9,5,"170, 1, 13","37, 3, 9",triplet barycentric multiplet,25045289
5.50780,27.13280,-56269,none,14,14,"385, 1, 75","424, 34, 116",triplet barycentric multiplet,25045296
5.51660,27.13280,-77142,none,9,21,"379, 1, 84","498, 38, 152",triplet barycentric multiplet,25045271
5.70260,19.43170,-17099,none,38,46,"992, 1, 115","156, 7, 41",triplet barycentric multiplet,24734049
5.70410,19.41190,-18559,none,45,52,"1043, 1, 120","162, 8, 47",triplet barycentric multiplet,24734027
5.90186,17.27001,-133448,,"0, 0","0, 58","0, 99","13, 315",,24374422
5.90332,17.25047,-116230,,"0, 0","0, 53","0, 93","14, 287",,24374420
5.65869,17.30907,-95382,,"0, 0","0, 46","0, 63","18, 274",,24714162
6.01611,17.30907,-95054,,"0, 0","1, 36","0, 76","13, 276",,24375390
6.01465,17.28954,-91739,,"0, 0","0, 31","0, 72","14, 269",,24375387
5.54443,17.27001,-87613,,"0, 0","0, 36","0, 77","4, 244",,24718426
5.54590,17.28954,-81969,,"0, 0","0, 34","0, 82","4, 235",,24718427
5.51660,27.13282,-77142,,"0, 0","0, 4","1, 84","38, 152",,25045271
5.90039,17.28954,-75793,,"0, 0","0, 44","0, 63","10, 222",,24374428
5.54297,17.25047,-73923,,"0, 0","0, 38","0, 55","4, 219",,24718415
5.65723,17.32861,-67560,,"0, 0","0, 37","0, 30","11, 217",,24714168
5.90479,17.27001,-66013,,"0, 0","0, 33","0, 66","4, 203",,24374421
5.50781,27.13282,-56270,,"0, 0","0, 2","1, 75","34, 116",,25045296
5.85791,17.27001,-54804,,"0, 0","0, 10","0, 52","11, 167",,24374165
5.65576,17.30907,-52940,,"0, 0","0, 23","0, 22","6, 191",,24714157
6.01611,17.27001,-41395,,"0, 0","0, 15","0, 27","1, 165",,24375385
5.51807,27.11186,-39460,,"0, 0","0, 2","0, 64","26, 89",,25045269
6.01172,17.28954,-34934,,"0, 0","0, 12","0, 33","5, 136",,24375408
5.54883,17.28954,-34507,,"0, 0","0, 16","0, 30","0, 133",,24718428
5.85938,17.25047,-34036,,"0, 0","0, 2","0, 31","7, 119",,24374079
5.85645,17.28954,-33676,,"0, 0","0, 11","0, 45","10, 113",,24374167
5.87695,17.25047,-33259,,"0, 0","0, 1","0, 11","4, 136",,24374099
6.01758,17.32861,-33243,,"0, 0","1, 24","0, 44","4, 131",,24375391
5.55029,17.27001,-31778,,"0, 0","0, 7","0, 24","0, 126",,24718422
5.53418,27.13282,-30544,,"0, 0","0, 5","0, 55","17, 93",,25043931
5.53565,27.11186,-27450,,"0, 0","0, 2","0, 32","15, 88",,25043929
5.85791,17.30907,-26238,,"0, 0","0, 1","0, 21","11, 89",,24374210
5.99268,17.30907,-26203,,"0, 0","0, 1","0, 0","2, 112",,24375454
5.54297,27.13282,-25132,,"0, 0","0, 1","0, 43","29, 61",,25044608
5.86084,17.27001,-24119,,"0, 0","0, 1","0, 8","9, 83",,24374122
5.52539,27.13282,-23025,,"0, 0","0, 1","0, 50","11, 89",,25043948
5.90186,17.30907,-22540,,"0, 0","0, 14","0, 25","1, 95",,24374429
6.01025,17.30907,-21560,,"0, 0","0, 7","0, 27","1, 97",,24375410
6.01904,17.30907,-21251,,"0, 0","0, 18","0, 26","0, 98",,24375389
5.86670,16.95776,-20812,,"0, 0","0, 3","0, 11","9, 76",,24373670
5.63672,17.28954,-20477,,"0, 0","0, 3","0, 0","0, 97",,24719472
5.70264,19.51079,-19964,,"0, 0","0, 7","0, 109","5, 64",,24734061
5.63818,17.30907,-18683,,"0, 0","0, 1","0, 0","0, 86",,24719473
5.59424,17.97450,-18645,,"0, 0","0, 9","0, 2","8, 67",,24721525
5.70410,19.41188,-18559,,"0, 0","0, 12","1, 120","8, 47",,24734027
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,